team_name,tickets
CCA Conspiracy,26
Set out! Get on the Nailoong Bus,26
mathforcesbox,26
Sparkling Daydream,25
teams above us admit,25
JOT,25
poopeepeepoo,24
walbird dragons,24
Type meepers,23
#define int long long,23
I can only escape by AKing Calico Fall 2024,24
Chinicu,24
I love bitset waifu,24
MCF SCC MST BIT LCT,22
Popular Starvalue,23
WayInWilderness,23
Highly Regarded Crashouts,23
512 pounds,23
Can't Think of a Team Name,23
JOIN WWPPC,23
Triehards,23
conquerer_of_calico,23
diaobdiaobdiaob,23
OF!Z 24/7 -- The Jerks!,23
abcddbca,21
Dragon and Maple,22
Miaow Meow Meaow,22
Codependence,22
Syntax_Trees,22
DanRGB4.0,22
WY Dolphins,22
Bidik - Penzija!,22
Future Traders,22
grap,22
CALPICO,22
ASEEDER030,20
Los Hasbullas,22
Vhall,21
ininap,21
CCA Treachery,21
#define int long long UCppM,21
B&B,21
CALICO Programming Crew,21
https://emojied.net/🍇🤷🍍,21
penguinzaZaza,21
water bottle duo,21
GoldenShadow,21
火山二中,21
mango,21
赛罗奥特曼,21
Cheeeeeese,21
Stop Rat Racing,20
the 3 universal handsome guy in but,20
Namn Namnsson,20
.,20
(╯°□°)╯︵ ┻━┻,20
ManiACs,20
Mathgic,20
tawk huah,20
Cyrus the Great,20
Moove over Noobs,20
"Max, Mex, Min: The Amazon's Primes",20
The Pepper Wreckers,20
League of Programmers,20
Dijkstra,20
Knowledge Limit Exceeded,20
Chill & Fun,19
LHS Water Fountains,19
La Lagartija,19
SundarSTEM StrawHats,19
Faster at reasoning,19
VAVplus,19
DP Demons,19
Anon Tokyo,19
SundarSTEM Coders,19
Asians Next Door,19
Chicken Nuggets,19
Egoista,19
SBU_BitBlitzers,19
Sure! Here's a list of names:,19
cobalt,19
AlephZero Italy,19
TJHSST F team,19
test,19
CCA Unkindness,19
Vatniki,19
Code Tuah (.split() on that thang!),19
The Silicon Blackbucks,19
Xibidi Matong,18
CCC A,18
Stratford Tech Titans,18
Can C#,18
BinaryOnly,18
DnMzSc,18
one person HAhAaHAA,18
北外Icc,18
Craayon,18
CCA Sabotage,18
change this later,18
Logarithmic RANGA,18
Mog,18
tech job for me please,18
SSA CodeCrafters,18
Literature Expert,18
regarded artists ツ,18
🍛 กะหรี่ 🍛,18
shimmy gordilini,18
IHaveNoFriends,18
Enforcers,18
Argyle1,18
++C,18
Mittens,18
DILL,18
Young Men of CJ,18
Number Basher,18
cowico,18
PHS CPT Amogus,18
ovO,18
Ephraim Fans' Random Algorithms,18
norz badge mid,18
SundarSTEM Binary Brains,18
Harverd Graduates,18
Bits & Bytes,18
Team B @ Portola HS USACO Club,18
4 on APCSA,17
X-Camp Dying Potatoes,17
Greedy team,17
idkwhyamIhere,17
Analytical Minds,17
calicooked,17
VP Panthers,17
BruteForce,17
Gen Alus,17
BEta-Force,17
Maverick,17
please give us points,17
DB Hackathon Team 1,17
d,17
Pytigris,17
💻 CALICOders,17
Data Dynamos,17
DB Hackathon Team 2,17
Ctrl+Alt+Del,17
blobheart,17
CCA Dissimulation,17
Among Us,17
Grass Pasturizers,17
DROP TABLE team_names,17
A star,17
JVD,17
Kyle Liang,17
looking 4 internship,17
I gave it my all ^-^,17
CodeBulls,17
Jasper77,17
Conic Potatoes,17
fixed class team,17
Skibidi Sigma Cows,17
the babadookies,17
boriNotFound,17
SyedSohaib,17
KMW,17
GeniusJ,17
SuperTech X,17
Baboons Forever Strong,17
ADAMT,17
codeZen,17
noipmahC aijiuH,16
The Jigglypuffs are Cooked,16
HopOnBrawl,16
meowwww,16
nah i'm sigma,16
Code Sagea,16
alvinAndTheChipmunks,16
BingBong Quantum Raisins,16
Master Chefs,16
mrld,16
Java Elephant,16
Ctrl Alt Defeat,16
</b> <h1> Big Text </h1> <b>,16
The Infinite Loops,16
Bunker Boys,16
YISS Team 1,16
Calcans,16
upsilon cows,16
Mi Gato Tiene Dos Años Hoy,16
无敌,16
Chandelier 2,16
Radio Bugs,16
From135,16
ASEEDER070,16
Run_Time_Terror,16
Challenge Accepted,16
Quantum Flux,16
DyAiHaSu,16
bazinga,16
Cyberbytes,16
Code Crushers 2,16
🧱🧱,16
very smart,16
TheMeepers,16
X-Camp Team :wood:WOOD IS GOOD​:wood:,16
Tech Titans 2,16
CodeCaliber,16
Coding_Champs,16
Pi,16
...,15
Purple Wolves,16
Team A,16
石室文庙最后的希望,15
PakCoders,15
SkibidiMCM,16
Sadgeduck,15
Podemice,15
Nibble Nibblers,15
We are all USACO addicts,15
Therapist Fees > Everything Else,15
The french guy,15
NerdSquad,15
KunNhai,15
6 lines,15
Cal High Grizzlies,15
c++ Fusion Force,15
JKT609,15
BillyNotWilly Fan Club,15
asdf,15
SCA_QWERTY,15
flow,15
therealchainman,15
